theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
memory_hbm,記憶體/HBM/儲存,5,20,5156,2006-05-29,2026-04-24,4,10,0.136368,0.128118,2.310504,5.104927,2.794424,0.051543,240,4.973188,2.891531,0.658333,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,10,40,5139,2006-06-05,2026-03-24,6,8,0.071204,0.074464,2.684093,4.584873,1.900780,0.171264,500,4.955209,4.630459,0.664000,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,40,40,5109,2006-07-17,2026-03-24,6,8,0.147642,0.124676,2.664722,5.104289,2.439567,0.794752,1312,4.935638,4.387741,0.691311,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,40,40,4947,2006-07-17,2026-03-24,4,9,0.181161,0.084936,3.897386,7.129734,3.232348,1.267118,1312,4.797405,2.560153,0.614329,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,20,40,5129,2006-06-19,2026-03-24,6,8,0.093369,0.083160,2.673377,4.756301,2.082924,0.380548,914,4.769388,4.430116,0.670678,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,20,20,5140,2006-06-20,2026-04-24,4,10,0.156533,0.150796,2.311959,5.375770,3.063811,0.137669,764,4.710299,3.262882,0.674084,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,10,40,4973,2006-06-06,2026-03-24,4,7,0.053167,0.073027,3.604852,5.600986,1.996134,-0.098124,390,4.490030,4.021821,0.697436,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,10,4549,2008-03-06,2026-05-08,8,6,0.049839,0.058125,2.203325,3.037724,0.834398,-1.208719,1243,4.444063,1.063241,0.577635,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,5,40,4985,2006-05-29,2026-03-24,8,7,0.008201,0.015970,3.627523,3.862816,0.235293,-0.030543,155,4.350410,2.300882,0.645161,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,5,40,5144,2006-05-29,2026-03-24,6,8,0.059752,0.062388,2.676473,4.204718,1.528245,0.104581,267,4.051420,4.060886,0.696629,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,5,20,4999,2006-05-29,2026-04-23,4,7,0.114435,0.097884,1.766230,3.475686,1.709456,-0.053500,183,4.029440,2.275272,0.606557,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,10,20,4998,2006-06-05,2026-04-23,4,9,0.109469,0.085942,1.988512,4.330200,2.341688,0.283998,440,3.958822,2.732140,0.627273,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,20,20,4988,2006-06-19,2026-04-23,4,9,0.147474,0.094938,1.989842,5.047865,3.058023,0.615811,809,3.934596,3.006629,0.655130,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,10,40,5038,2006-06-05,2026-03-24,6,9,0.002090,0.001660,4.874586,5.827838,0.953252,-0.408004,169,3.920771,2.525270,0.585799,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,5,4584,2008-01-15,2026-05-15,8,6,0.077627,0.137216,1.135015,3.534446,2.399431,-0.581148,496,3.646503,0.934491,0.612903,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,10,40,4980,2006-06-05,2026-03-24,8,7,0.000418,0.010721,3.627139,3.833742,0.206603,-0.032505,381,3.586377,1.799546,0.608924,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,10,4568,2008-01-29,2026-05-08,8,6,0.074488,0.089955,2.192095,5.473490,3.281395,-0.811787,828,3.534567,1.521279,0.607488,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,5,20,4997,2006-05-29,2026-04-23,6,8,0.100089,0.086994,2.028339,3.390327,1.361987,0.282272,357,3.345057,3.000957,0.672269,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,5,20,5003,2006-05-29,2026-04-23,4,9,0.075354,0.067313,1.978371,3.679139,1.700768,0.140653,234,3.248614,1.753436,0.589744,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,20,10,5150,2006-06-20,2026-05-08,4,10,0.186960,0.162688,1.145813,3.473400,2.327587,0.161881,772,3.032019,1.869296,0.642487,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,20,40,4963,2006-06-20,2026-03-24,4,7,0.071053,0.087301,3.586823,5.657456,2.070632,-0.163881,684,2.813270,3.447402,0.624269,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,10,40,5001,2006-06-06,2026-03-24,8,6,0.016738,-0.022229,1.864082,2.461597,0.597515,0.048148,182,2.802236,2.472691,0.659341,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,40,40,4950,2006-07-17,2026-03-24,8,7,-0.015001,-0.004261,3.652900,3.050724,-0.602176,-0.314751,1108,2.793690,2.125956,0.584838,5.000000,5.000000,0.300000
