theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
copper_industrial_metals,銅/工業金屬/線纜,5,40,5144,2006-05-29,2026-03-24,6,8,0.059752,0.062388,2.676473,4.204718,1.528245,0.104581,214,4.454790,4.155959,0.714953,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,10,40,4973,2006-06-06,2026-03-24,4,7,0.053167,0.073027,3.604852,5.600986,1.996134,-0.098124,191,4.451486,3.959858,0.706806,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,10,40,5139,2006-06-05,2026-03-24,6,8,0.071204,0.074464,2.684093,4.584873,1.900780,0.171264,387,4.312834,3.750845,0.651163,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,10,40,5038,2006-06-05,2026-03-24,6,9,0.002090,0.001660,4.874586,5.827838,0.953252,-0.408004,68,3.958963,3.072823,0.558824,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,5,20,5067,2006-05-29,2026-04-23,6,9,0.035111,0.053965,2.299649,2.979463,0.679814,-0.189396,17,3.944531,4.037748,0.705882,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,5,20,5003,2006-05-29,2026-04-23,4,9,0.075354,0.067313,1.978371,3.679139,1.700768,0.140653,162,3.872211,3.132747,0.617284,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,5,20,4997,2006-05-29,2026-04-23,6,8,0.100089,0.086994,2.028339,3.390327,1.361987,0.282272,251,3.817767,3.077506,0.697211,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,10,40,4980,2006-06-05,2026-03-24,8,7,0.000418,0.010721,3.627139,3.833742,0.206603,-0.032505,212,3.746109,1.798088,0.622642,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,40,20,4968,2006-07-17,2026-04-23,4,9,0.162608,0.079149,1.987864,4.185081,2.197217,1.288267,783,3.597792,2.874606,0.652618,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,40,40,4950,2006-07-17,2026-03-24,8,7,-0.015001,-0.004261,3.652900,3.050724,-0.602176,-0.314751,610,3.560955,3.134885,0.627869,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,5,40,4985,2006-05-29,2026-03-24,8,7,0.008201,0.015970,3.627523,3.862816,0.235293,-0.030543,88,3.558889,2.020021,0.625000,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,20,40,4991,2006-06-20,2026-03-24,8,6,-0.007368,-0.034724,1.863496,2.621629,0.758133,0.102337,242,3.425396,2.346215,0.719008,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,10,20,5157,2006-06-05,2026-04-23,7,7,0.059692,0.028004,1.355938,1.843371,0.487434,0.171932,106,3.421512,2.664563,0.716981,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,10,40,5136,2006-06-05,2026-03-25,7,7,0.032772,0.009346,2.702552,2.715837,0.013285,0.167946,104,3.348508,2.928682,0.653846,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,5,20,5026,2006-05-29,2026-04-23,8,6,-0.005815,-0.013171,0.948672,0.987564,0.038893,0.025547,39,3.291456,2.249194,0.641026,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,5,4554,2008-03-06,2026-05-15,8,6,0.033499,0.057820,1.135837,1.551681,0.415844,-1.209399,727,3.264231,0.555228,0.563961,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,20,10,5150,2006-06-20,2026-05-08,4,10,0.186960,0.162688,1.145813,3.473400,2.327587,0.161881,483,3.258454,1.700794,0.631470,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,10,20,4992,2006-06-06,2026-04-23,6,8,0.127505,0.123054,2.032289,3.895925,1.863636,0.536166,464,3.068079,2.593502,0.648707,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,40,20,4962,2006-07-18,2026-04-23,6,8,0.149635,0.118921,2.019474,4.381830,2.362356,2.384133,923,3.058880,2.687094,0.693391,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,20,40,4963,2006-06-20,2026-03-24,4,7,0.071053,0.087301,3.586823,5.657456,2.070632,-0.163881,367,2.998517,3.721676,0.643052,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,40,20,5119,2006-07-19,2026-04-24,4,10,0.122434,0.117114,2.312489,4.379428,2.066938,0.250481,613,2.910618,1.940950,0.585644,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,10,40,5043,2006-06-06,2026-03-24,8,6,0.084404,0.001022,3.511854,5.303151,1.791297,-0.131658,221,2.822803,-0.484085,0.479638,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,10,20,4994,2006-06-06,2026-04-23,4,7,0.123320,0.104497,1.776334,3.877142,2.100808,-0.093585,191,2.815816,2.090968,0.596859,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,5,40,5048,2006-05-29,2026-03-24,8,6,0.073994,0.027044,3.508701,5.858332,2.349632,-0.083270,113,2.805890,-1.056206,0.451327,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,40,40,4971,2006-07-18,2026-03-24,8,6,-0.008678,0.000357,1.878869,2.976400,1.097531,0.145645,417,2.741761,2.968407,0.714628,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,40,20,4964,2006-07-18,2026-04-23,4,7,0.088239,0.093480,1.754523,3.275782,1.521259,-0.459219,509,2.705875,2.838620,0.677800,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,5,20,5006,2006-05-29,2026-04-23,8,7,0.052549,0.070519,1.775436,2.499796,0.724359,-0.020355,88,2.693379,1.299943,0.579545,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,5,40,5142,2006-05-29,2026-03-25,7,7,0.027870,0.006048,2.703943,2.712859,0.008916,0.087332,37,2.655173,1.908608,0.621622,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,20,20,4982,2006-06-20,2026-04-23,6,8,0.147849,0.131969,2.022894,3.744486,1.721592,1.116127,689,2.593776,2.364353,0.647315,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,10,10,5159,2006-06-07,2026-05-08,4,10,0.158915,0.147249,1.151483,3.274929,2.123446,0.092355,328,2.550753,1.403015,0.597561,5.000000,5.000000,0.300000
