playlist_index,video_id,title,duration_string,url,has_transcript,subtitle_language,topic_tags
58,V_fV_g7Isy4,The 2025 Global Wealth Report reveals shocking secrets! Does wealth depend on your nationality? T...,14:09,https://www.youtube.com/watch?v=V_fV_g7Isy4,yes,zh,institutional|security|macro|trading
59,aE2inRgf2XI,Global Markets on Alert: What a Potential U.S. Debt Correction Could Mean for the Financial System,39:25,https://www.youtube.com/watch?v=aE2inRgf2XI,yes,en-orig,bitcoin|macro|trading
60,u2D0GzZV3ww,川普任內還有大反轉？幣圈牛市正迎來末日狂潮？│Andy Cheung PredicXion 【邦妮區塊鏈】,1:13:09,https://www.youtube.com/watch?v=u2D0GzZV3ww,yes,zh,bitcoin|tokenization|macro|trading
61,l5j2w1RqLBI,"Foreign media: Taiwan is incredibly wealthy! But the people don't feel it? What exactly is the ""T...",14:10,https://www.youtube.com/watch?v=l5j2w1RqLBI,yes,zh,bitcoin|stablecoin|institutional|security|macro|trading
62,g6FKwdppPAQ,Inside MSTR’s Playbook: How Strategy Really Bets on Bitcoin │Jeff Walton │BonnieBlockchain,56:35,https://www.youtube.com/watch?v=g6FKwdppPAQ,yes,en-orig,bitcoin|stablecoin|institutional|macro|trading
63,hyaDs2_nDss,"What is a cryptocurrency cold wallet? With so many Ledger options, how do you choose? The most co...",16:30,https://www.youtube.com/watch?v=hyaDs2_nDss,yes,zh,bitcoin|tokenization|security|trading
64,M-Wy-N3tVnQ,McKinsey 2025: 13 AI Techs Reshaping Global Wealth |  Bonnie Blockchain,18:42,https://www.youtube.com/watch?v=M-Wy-N3tVnQ,yes,zh,macro|trading
65,t_xQ60FhSLE,Gold Hits New Highs — Our Obsession Explained | Bonnie Blockchain,14:44,https://www.youtube.com/watch?v=t_xQ60FhSLE,yes,zh,bitcoin|institutional|security|macro|trading
66,8XLcbx-AE8c,Crypto Banks Are the Next Big Thing｜ether.fi CEO Mike Silagadze｜Bonnie Blockchain,45:21,https://www.youtube.com/watch?v=8XLcbx-AE8c,yes,en-orig,bitcoin|institutional|security|macro
67,x91OswNYSSY,Ben Cowen On The Death Cross And BTC ETH SOL ADA | Ben Cowen |  Bonnie Blockchain,1:07:51,https://www.youtube.com/watch?v=x91OswNYSSY,yes,en-orig,bitcoin|macro|trading
68,7meu-32aBsg,The Endgame of Corporate Bitcoin Adoption｜Adam Back｜Bonnie Blockchain,22:55,https://www.youtube.com/watch?v=7meu-32aBsg,yes,en-orig,bitcoin|institutional|macro|trading
69,Eu24E96X0Kc,Who Actually Profited from This Crypto Bull Run? | Jademont Zheng | Bonnie Blockchain,35:17,https://www.youtube.com/watch?v=Eu24E96X0Kc,yes,zh,bitcoin|institutional|tokenization|security|macro|trading
70,F1SBF0oIucA,The Fight for Digital Freedom in a World of Modern Slavery | Yat Siu | Bonnie Blockchain,21:49,https://www.youtube.com/watch?v=F1SBF0oIucA,yes,en-orig,general
71,2ppYShKb-3c,Bitcoin’s 4 Year Cycle Is Over! What Comes Next? | Arthur Hayes | Bonnie Blockchain,50:25,https://www.youtube.com/watch?v=2ppYShKb-3c,yes,en-orig,bitcoin|tokenization|macro|trading
72,QMzW312Xefg,"AI, Humanity & the New Meaning of Wealth | Tad Smith | Bonnie Blockchain",37:28,https://www.youtube.com/watch?v=QMzW312Xefg,yes,en-orig,bitcoin|macro|trading
73,fl9CrOiuRws,DAT Companies Explained: The Next Evolution of Public Corporations | Bonnie Blockchain,12:19,https://www.youtube.com/watch?v=fl9CrOiuRws,yes,zh,bitcoin|stablecoin|institutional|macro|trading
74,CEfMb6N_PHE,Global Money Printing Has Just Begun! Bitget CEO Gracy Chen | Bonnie Blockchain,58:39,https://www.youtube.com/watch?v=CEfMb6N_PHE,yes,zh,bitcoin|stablecoin|security|macro|trading
75,_ADn68EJOLI,The Truth About the 5-Year Crypto Cycle: Final Altseason Ahead!｜Bonnie Blockchain,15:02,https://www.youtube.com/watch?v=_ADn68EJOLI,yes,zh,bitcoin|macro|trading
76,Fs5FVHNB1ag,Binance Deposit & Withdrawal Master Guide | The Most Complete Crypto Tutorial｜Bonnie Blockchain,11:03,https://www.youtube.com/watch?v=Fs5FVHNB1ag,yes,zh,bitcoin|stablecoin|tokenization|trading
77,mZFXNAkCILo,Bitcoin at $1M Is Just the Beginning | Jack Kong | Bonnie Blockchain,35:39,https://www.youtube.com/watch?v=mZFXNAkCILo,yes,zh-TW,bitcoin|stablecoin|institutional|tokenization|macro|trading
78,Xun_OMencKo,How to Spot a Bear Market Before It Hits | Andrew McCormick | Bonnie Blockchain,27:09,https://www.youtube.com/watch?v=Xun_OMencKo,yes,en-orig,bitcoin|trading
79,jRsfBbN27uE,The Key to Controlling Bitcoin’s Price Power  | Matthew Schultz | Bonnie Blockchain,36:43,https://www.youtube.com/watch?v=jRsfBbN27uE,yes,en-orig,bitcoin|macro|trading
80,8sAZD89XIcc,U.S. Stocks Go On-Chain — 24/7 Trading Revolution | Bonnie Blockchain,41:25,https://www.youtube.com/watch?v=8sAZD89XIcc,yes,zh,bitcoin|stablecoin|institutional|tokenization|security|trading
81,gWsuVBIHDSY,Bitcoin’s Most Pessimistic Price Prediction| Sean Bill | Bonnie Blockchain,51:55,https://www.youtube.com/watch?v=gWsuVBIHDSY,yes,en-orig,bitcoin|institutional|macro|trading
82,wn7pNPwS1SI,The Hidden Forces Behind Bitcoin’s Market Cycle | Adam Back | Bonnie Blockchain,36:54,https://www.youtube.com/watch?v=wn7pNPwS1SI,yes,en-orig,bitcoin|macro|trading
83,pRh5T4CjLrg,Billions Will Flow Into Bitcoin. Here’s Why | Brandon Green | Bonnie Blockchain,30:51,https://www.youtube.com/watch?v=pRh5T4CjLrg,yes,en-orig,bitcoin|macro|trading
84,rA0GXT1k_eA,Billionaire: Diversification Only Makes You Poorer | Gary Cardone  | Bonnie Blockchain,56:39,https://www.youtube.com/watch?v=rA0GXT1k_eA,yes,en-orig,bitcoin|trading
85,SoROeULO3Ck,Top Economic Analyst Reveals the Secrets of Money | Lyn Alden | Bonnie Blockchain,1:03:29,https://www.youtube.com/watch?v=SoROeULO3Ck,yes,en-orig,institutional|macro
86,7RfaPX-ybbk,"Miners, Holders, and Market Cycles: The True Factors Behind Bitcoin’s Price | MARA CEO Fred Thiel",33:38,https://www.youtube.com/watch?v=7RfaPX-ybbk,yes,en-orig,bitcoin|institutional|macro|trading
